time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,0.0,-2.0,2.0,-1.0,-3.0,-2.0,-2.0,-1.0,-0.34075927734375,-0.432861328125,0.75762939453125,0.35003662109375,-0.2158203125,-0.9228515625,0.39599609375,-1.5,-0.5625,0.5625
0.01,0.0,-3.0,-9.0,-3.0,-1.0,1.0,-1.0,-4.0
0.015,0.0,2.0,1.0,-5.0,-1.0,0.0,0.0,-1.0,-0.34075927734375,-0.432861328125,0.757568359375,0.35003662109375,-0.220703125,-0.92529296875,0.39697265625,0.5,-0.6875,-0.0625
0.02,-2.0,1.0,2.0,4.0,-3.0,-2.0,-1.0,-1.0,-0.340576171875,-0.4326171875,0.7578125,0.35003662109375,-0.228515625,-0.9208984375,0.40185546875,2.25,-1.1875,-0.25
0.025,-3.0,-1.0,4.0,0.0,-2.0,-2.0,-2.0,-2.0,-0.34033203125,-0.43243408203125,0.758056640625,0.35003662109375,-0.22802734375,-0.90966796875,0.3935546875,2.4375,-1.5,-0.4375
0.03,3.0,-6.0,-5.0,-9.0,-1.0,0.0,0.0,0.0,-0.34014892578125,-0.43231201171875,0.75823974609375,0.3499755859375,-0.21923828125,-0.9013671875,0.390625,1.5625,-1.4375,0.0
0.035,-2.0,-10.0,-9.0,-5.0,-6.0,-4.0,-1.0,0.0,-0.34051513671875,-0.43304443359375,0.758056640625,0.34906005859375,-0.2158203125,-0.92236328125,0.3955078125,-3.1875,-0.8125,1.75
0.04,16.0,10.0,3.0,-2.0,-11.0,-6.0,0.0,1.0
0.045,7.0,-2.0,-5.0,-3.0,2.0,1.0,-2.0,3.0,-0.3406982421875,-0.43310546875,0.758056640625,0.34893798828125,-0.2158203125,-0.92333984375,0.408203125,-0.9375,0.5625,1.0625
0.05,-1.0,0.0,-11.0,-12.0,-2.0,0.0,0.0,3.0,-0.3406982421875,-0.432861328125,0.758056640625,0.34906005859375,-0.21630859375,-0.92626953125,0.4150390625,0.8125,1.125,0.375
