time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,0.0,-1.0,2.0,-1.0,-4.0,-3.0,-3.0,-3.0,-0.44775390625,-0.406982421875,0.66058349609375,0.44439697265625,-0.232421875,-0.95751953125,0.2783203125,0.5,1.3125,-0.5625
0.01,1.0,2.0,4.0,4.0,0.0,-3.0,-2.0,0.0
0.015,-1.0,-1.0,-2.0,-3.0,0.0,7.0,4.0,1.0,-0.4478759765625,-0.406982421875,0.6605224609375,0.44439697265625,-0.2373046875,-0.958984375,0.279296875,-1.125,0.9375,0.0625
0.02,-1.0,-1.0,2.0,8.0,5.0,1.0,-3.0,-2.0,-0.4481201171875,-0.4071044921875,0.66033935546875,0.44427490234375,-0.23291015625,-0.9609375,0.27197265625,-1.5625,0.4375,0.375
0.025,0.0,-3.0,-12.0,-11.0,-4.0,-3.0,-1.0,0.0,-0.44805908203125,-0.4071044921875,0.66033935546875,0.44427490234375,-0.2353515625,-0.97119140625,0.2802734375,-0.6875,-0.0625,0.8125
0.03,-3.0,-1.0,-1.0,8.0,-4.0,-2.0,-2.0,-2.0,-0.447998046875,-0.4068603515625,0.66046142578125,0.44439697265625,-0.23583984375,-0.97119140625,0.28564453125,1.0625,0.375,0.3125
0.035,-2.0,-4.0,-23.0,-22.0,-4.0,-3.0,-4.0,0.0,-0.4478759765625,-0.40655517578125,0.66058349609375,0.4447021484375,-0.2412109375,-0.96923828125,0.27099609375,2.875,0.6875,-0.4375
0.04,-2.0,-1.0,-1.0,1.0,-3.0,-2.0,0.0,-1.0,-0.44757080078125,-0.40618896484375,0.6607666015625,0.44500732421875,-0.23974609375,-0.9599609375,0.27685546875,3.3125,0.0,-0.875
0.045,-1.0,0.0,-2.0,5.0,-3.0,-3.0,-3.0,-1.0,-0.44744873046875,-0.40606689453125,0.66082763671875,0.4451904296875,-0.2373046875,-0.9521484375,0.2822265625,0.1875,0.1875,0.5
0.05,-1.0,-2.0,-4.0,0.0,3.0,3.0,1.0,1.0,-0.44744873046875,-0.40606689453125,0.66082763671875,0.4451904296875,-0.240234375,-0.96142578125,0.28466796875,-0.375,0.125,0.5625
0.055,1.0,2.0,-2.0,-15.0,-3.0,-4.0,-1.0,-1.0
0.06,-2.0,-4.0,6.0,1.0,-2.0,-2.0,-1.0,-3.0,-0.4473876953125,-0.406005859375,0.6610107421875,0.44500732421875,-0.2333984375,-0.96826171875,0.28125,0.125,-0.9375,1.25
0.065,-2.0,-4.0,-15.0,0.0,0.0,1.0,1.0,-2.0,-0.447265625,-0.40576171875,0.661376953125,0.44488525390625,-0.23974609375,-0.9677734375,0.28564453125,1.4375,-0.9375,1.75
0.07,2.0,5.0,16.0,3.0,0.0,-4.0,-1.0,1.0,-0.44696044921875,-0.40484619140625,0.662109375,0.44488525390625,-0.26123046875,-0.96826171875,0.30322265625,4.4375,-0.9375,2.0625
0.075,-1.0,-3.0,0.0,1.0,-3.0,-2.0,-1.0,0.0,-0.446533203125,-0.40374755859375,0.66326904296875,0.444580078125,-0.29443359375,-0.96435546875,0.306640625,5.75,-3.1875,2.4375
0.08,0.0,-2.0,-6.0,-7.0,-3.0,-1.0,-2.0,-2.0,-0.4459228515625,-0.4029541015625,0.66461181640625,0.44390869140625,-0.2861328125,-0.98046875,0.3095703125,4.6875,-5.4375,3.875
0.085,-1.0,1.0,5.0,6.0,-2.0,0.0,0.0,-1.0,-0.44512939453125,-0.40216064453125,0.6656494140625,0.44390869140625,-0.2451171875,-0.98486328125,0.2900390625,7.75,-3.75,3.1875
0.09,-2.0,-2.0,-3.0,-4.0,4.0,-1.0,-2.0,-2.0,-0.44439697265625,-0.40087890625,0.66656494140625,0.4443359375,-0.240234375,-0.96142578125,0.28173828125,10.8125,-1.1875,2.4375
0.095,-1.0,1.0,-1.0,7.0,3.0,-1.0,0.0,-2.0,-0.44390869140625,-0.39984130859375,0.66741943359375,0.444580078125,-0.24267578125,-0.943359375,0.27783203125,8.4375,-1.0,2.75
0.1,-1.0,1.0,3.0,0.0,-1.0,-3.0,-1.0,0.0,-0.4439697265625,-0.39892578125,0.66802978515625,0.44439697265625,-0.208984375,-0.93798828125,0.267578125,2.75,1.375,4.25
0.105,-1.0,1.0,-3.0,-3.0,-5.0,-3.0,0.0,-1.0
0.11,-2.0,2.0,5.0,5.0,1.0,3.0,3.0,-2.0,-0.44427490234375,-0.39837646484375,0.66839599609375,0.444091796875,-0.25146484375,-0.935546875,0.2861328125,1.6875,0.6875,3.8125
0.115,1.0,-2.0,0.0,3.0,-5.0,-4.0,-1.0,2.0,-0.4442138671875,-0.39801025390625,0.6690673828125,0.44329833984375,-0.21533203125,-0.95361328125,0.28515625,1.0625,-1.25,3.0625
0.12,-1.0,-1.0,4.0,1.0,-1.0,3.0,1.0,1.0
0.125,-1.0,-2.0,3.0,1.0,-1.0,-3.0,-1.0,-1.0,-0.44378662109375,-0.39752197265625,0.66949462890625,0.443603515625,-0.2275390625,-0.9423828125,0.2900390625,5.125,-0.4375,1.25
0.13,-2.0,-2.0,-6.0,-6.0,2.0,-1.0,-1.0,-2.0,-0.44317626953125,-0.3970947265625,0.67010498046875,0.44366455078125,-0.20947265625,-0.92529296875,0.2763671875,0.25,-1.4375,2.1875
0.135,-2.0,-1.0,-8.0,4.0,-2.0,-2.0,-2.0,-1.0,-0.4432373046875,-0.39776611328125,0.6697998046875,0.4434814453125,-0.203125,-0.95166015625,0.27197265625,-2.375,-0.375,1.3125
0.14,-1.0,0.0,-10.0,-5.0,7.0,-4.0,-2.0,-3.0,-0.44354248046875,-0.39825439453125,0.66943359375,0.443359375,-0.224609375,-0.9423828125,0.27783203125,-2.6875,0.5625,0.1875
0.145,-3.0,-2.0,-1.0,-5.0,-8.0,-7.0,-7.0,-2.0,-0.44378662109375,-0.398681640625,0.669189453125,0.44305419921875,-0.22900390625,-0.9384765625,0.2861328125,-3.125,0.1875,0.875
0.15,-2.0,-2.0,6.0,13.0,2.0,2.0,1.0,1.0,-0.44403076171875,-0.39910888671875,0.6689453125,0.4427490234375,-0.21826171875,-0.93603515625,0.29248046875,-4.0,0.0625,1.75
0.155,-2.0,-4.0,1.0,1.0,-4.0,1.0,1.0,0.0,-0.44427490234375,-0.39923095703125,0.66888427734375,0.4425048828125,-0.23193359375,-0.93896484375,0.29443359375,-2.0625,0.4375,1.6875
0.16,-2.0,-5.0,-8.0,4.0,0.0,-1.0,-3.0,-3.0,-0.4443359375,-0.39886474609375,0.669189453125,0.4422607421875,-0.2568359375,-0.93994140625,0.302734375,0.5,-0.0625,1.9375
0.165,0.0,0.0,-3.0,-3.0,-2.0,2.0,-1.0,-2.0,-0.4443359375,-0.39862060546875,0.66949462890625,0.442138671875,-0.24951171875,-0.94384765625,0.310546875,0.1875,-0.1875,1.625
0.17,-1.0,1.0,-3.0,-5.0,-1.0,-3.0,1.0,-1.0,-0.4443359375,-0.3985595703125,0.66949462890625,0.442138671875,-0.25537109375,-0.96630859375,0.30517578125,0.8125,-0.625,-0.125
0.175,0.0,-1.0,-2.0,2.0,0.0,-3.0,0.0,-1.0,-0.44390869140625,-0.39813232421875,0.66973876953125,0.4425048828125,-0.26953125,-0.9609375,0.30908203125,3.5,-0.625,-1.6875
0.18,0.0,-2.0,-4.0,8.0,-1.0,0.0,0.0,0.0,-0.44378662109375,-0.39801025390625,0.669677734375,0.44287109375,-0.26123046875,-0.9501953125,0.29638671875,-1.0625,0.0625,-2.625
0.185,-2.0,-6.0,-20.0,-8.0,-3.0,-1.0,-3.0,-1.0,-0.4437255859375,-0.39837646484375,0.66937255859375,0.443115234375,-0.2626953125,-0.94970703125,0.28759765625,-0.8125,-0.0625,-4.0
0.19,0.0,2.0,4.0,5.0,7.0,3.0,1.0,1.0
0.195,-3.0,1.0,-5.0,-8.0,-6.0,-6.0,-1.0,-1.0,-0.44366455078125,-0.39898681640625,0.66888427734375,0.443359375,-0.248046875,-0.96728515625,0.28466796875,-1.625,-0.25,-3.875
0.2,-1.0,-1.0,6.0,4.0,-1.0,1.0,-1.0,-1.0,-0.4432373046875,-0.399658203125,0.668212890625,0.44415283203125,-0.2265625,-0.97021484375,0.2978515625,1.5,0.125,-2.4375
0.205,0.0,-2.0,0.0,-1.0,-1.0,2.0,-1.0,-2.0
0.21,0.0,1.0,4.0,-1.0,-6.0,-3.0,-3.0,0.0,-0.4427490234375,-0.399658203125,0.66827392578125,0.444580078125,-0.22998046875,-0.953125,0.2880859375,2.8125,-0.9375,-1.5
0.215,0.0,3.0,-4.0,-14.0,-5.0,-1.0,-2.0,-3.0,-0.4423828125,-0.39984130859375,0.66839599609375,0.444580078125,-0.2275390625,-0.9482421875,0.2978515625,0.375,-1.75,-0.3125
0.22,-3.0,-3.0,5.0,5.0,-1.0,1.0,-1.0,-2.0,-0.442138671875,-0.40008544921875,0.66845703125,0.4444580078125,-0.2412109375,-0.94921875,0.29541015625,-0.5625,-2.0,-0.5625
0.225,-1.0,-2.0,-8.0,-11.0,0.0,-1.0,-4.0,-1.0,-0.44189453125,-0.40020751953125,0.66864013671875,0.44439697265625,-0.24755859375,-0.9580078125,0.29931640625,0.25,-2.125,-0.625
0.23,-1.0,0.0,-3.0,-3.0,0.0,-2.0,-3.0,-1.0
0.235,-1.0,-1.0,5.0,-3.0,-3.0,1.0,4.0,0.0,-0.4415283203125,-0.40032958984375,0.66888427734375,0.4443359375,-0.24658203125,-0.96484375,0.29931640625,1.0,-2.4375,-0.3125
0.24,0.0,-4.0,-2.0,3.0,-1.0,-1.0,1.0,-1.0,-0.44110107421875,-0.40020751953125,0.66900634765625,0.44464111328125,-0.23486328125,-0.96044921875,0.3017578125,2.375,-0.9375,-1.1875
0.245,0.0,0.0,5.0,-4.0,-1.0,-3.0,-2.0,1.0,-0.44061279296875,-0.4000244140625,0.6690673828125,0.44512939453125,-0.244140625,-0.95361328125,0.298828125,3.375,-0.4375,-2.4375
0.25,-1.0,-3.0,-3.0,-4.0,2.0,2.0,-1.0,0.0,-0.44036865234375,-0.39990234375,0.6690673828125,0.445556640625,-0.23876953125,-0.9443359375,0.29736328125,2.1875,0.4375,-2.25
0.255,-2.0,2.0,3.0,3.0,-1.0,-1.0,-1.0,0.0,-0.44024658203125,-0.40008544921875,0.66888427734375,0.44573974609375,-0.23583984375,-0.94677734375,0.29736328125,-0.5,-0.125,-1.75
0.26,-2.0,3.0,7.0,3.0,-5.0,-6.0,-3.0,-1.0,-0.4404296875,-0.40069580078125,0.66839599609375,0.44573974609375,-0.24169921875,-0.9560546875,0.30517578125,-2.3125,0.0,-1.25
0.265,-2.0,-3.0,-1.0,6.0,-2.0,0.0,3.0,0.0,-0.4404296875,-0.40093994140625,0.668212890625,0.44580078125,-0.23046875,-0.9609375,0.30078125,-1.1875,0.125,-0.9375
0.27,-2.0,2.0,8.0,-10.0,-4.0,-5.0,-4.0,-3.0
0.275,0.0,2.0,-1.0,-1.0,0.0,-3.0,-3.0,1.0,-0.44024658203125,-0.40087890625,0.668212890625,0.446044921875,-0.23193359375,-0.95458984375,0.30419921875,0.75,0.4375,-1.0625
0.28,0.0,-2.0,-4.0,18.0,4.0,1.0,0.0,-2.0,-0.44024658203125,-0.40093994140625,0.66815185546875,0.446044921875,-0.236328125,-0.9580078125,0.28662109375,0.3125,0.1875,0.25
0.285,-2.0,-3.0,-5.0,0.0,-6.0,-7.0,-5.0,-3.0
0.29,-1.0,1.0,2.0,4.0,-2.0,3.0,4.0,0.0,-0.4403076171875,-0.40093994140625,0.66815185546875,0.446044921875,-0.23095703125,-0.95263671875,0.27880859375,-0.125,0.125,0.1875
0.295,-1.0,-2.0,1.0,5.0,1.0,0.0,-2.0,-3.0,-0.4403076171875,-0.4010009765625,0.6680908203125,0.446044921875,-0.232421875,-0.94775390625,0.28955078125,-0.5625,0.875,-0.0625
0.3,-2.0,0.0,-3.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.44049072265625,-0.40106201171875,0.66796875,0.446044921875,-0.2314453125,-0.94677734375,0.2998046875,-1.5625,1.0,0.25
0.305,-1.0,-1.0,-11.0,-3.0,5.0,2.0,2.0,-1.0,-0.44073486328125,-0.40118408203125,0.66778564453125,0.44586181640625,-0.23388671875,-0.94970703125,0.2978515625,-2.0625,0.6875,0.4375
0.31,-2.0,-2.0,-7.0,-4.0,-4.0,-2.0,-1.0,1.0,-0.44091796875,-0.4013671875,0.66766357421875,0.44573974609375,-0.236328125,-0.95458984375,0.29443359375,-1.75,0.1875,0.4375
0.315,-2.0,-1.0,6.0,-3.0,0.0,-5.0,-3.0,-3.0,-0.44091796875,-0.4013671875,0.66766357421875,0.44573974609375,-0.23193359375,-0.953125,0.3037109375,0.25,-0.9375,-0.125
0.32,0.0,-2.0,-2.0,-5.0,-2.0,-2.0,-2.0,-1.0,-0.440673828125,-0.4013671875,0.66778564453125,0.44580078125,-0.23095703125,-0.9609375,0.2978515625,1.25,-0.875,0.0
0.325,0.0,1.0,-2.0,-15.0,-5.0,-3.0,0.0,1.0,-0.440673828125,-0.4013671875,0.66778564453125,0.44580078125,-0.2333984375,-0.95166015625,0.2958984375,-0.3125,-0.4375,0.5
0.33,0.0,-1.0,-7.0,3.0,-4.0,0.0,-3.0,-1.0,-0.44073486328125,-0.4013671875,0.6678466796875,0.44561767578125,-0.23876953125,-0.94873046875,0.3037109375,-1.25,-0.375,0.9375
0.335,0.0,6.0,24.0,15.0,2.0,4.0,5.0,1.0,-0.44085693359375,-0.40155029296875,0.66790771484375,0.4453125,-0.23974609375,-0.955078125,0.2998046875,-1.9375,-0.875,0.8125
0.34,-3.0,-3.0,10.0,25.0,3.0,1.0,-3.0,-3.0,-0.44085693359375,-0.40155029296875,0.66790771484375,0.4453125,-0.23779296875,-0.96240234375,0.3037109375,-0.625,0.3125,0.875
0.345,0.0,-1.0,-2.0,4.0,-4.0,-1.0,1.0,-1.0,-0.44085693359375,-0.40155029296875,0.66790771484375,0.4453125,-0.244140625,-0.9677734375,0.30224609375,0.4375,0.0,0.0625
0.35,-2.0,-2.0,-1.0,8.0,3.0,-1.0,-3.0,-1.0,-0.44073486328125,-0.40118408203125,0.6680908203125,0.4454345703125,-0.2373046875,-0.95849609375,0.29638671875,2.625,0.375,0.625
0.355,-2.0,-2.0,-4.0,5.0,0.0,1.0,0.0,-2.0,-0.44073486328125,-0.40057373046875,0.66839599609375,0.445556640625,-0.24365234375,-0.94482421875,0.30126953125,3.0,0.875,1.375
0.36,-1.0,-4.0,-1.0,-16.0,-6.0,-4.0,-4.0,-1.0,-0.44085693359375,-0.40020751953125,0.66851806640625,0.445556640625,-0.24462890625,-0.94140625,0.3076171875,0.5625,1.125,1.0625
0.365,0.0,0.0,-10.0,0.0,0.0,-1.0,0.0,1.0,-0.4412841796875,-0.400146484375,0.66876220703125,0.44488525390625,-0.24658203125,-0.966796875,0.294921875,-0.6875,-0.6875,2.125
0.37,-3.0,-3.0,-19.0,-7.0,-3.0,-1.0,-2.0,-2.0
0.375,-4.0,-4.0,7.0,15.0,2.0,0.0,-2.0,-2.0,-0.44134521484375,-0.39923095703125,0.6690673828125,0.4451904296875,-0.2353515625,-0.94775390625,0.2978515625,2.6875,1.9375,1.0625
0.38,-1.0,-1.0,-1.0,-7.0,-7.0,0.0,-2.0,-3.0,-0.44134521484375,-0.39886474609375,0.66912841796875,0.44537353515625,-0.236328125,-0.943359375,0.30517578125,1.5625,1.3125,0.875
0.385,0.0,1.0,13.0,3.0,0.0,1.0,-2.0,-1.0
0.39,-1.0,1.0,-3.0,-6.0,-3.0,-1.0,1.0,1.0,-0.44140625,-0.3984375,0.66925048828125,0.44549560546875,-0.23876953125,-0.943359375,0.3037109375,1.625,1.375,0.9375
0.395,0.0,-2.0,-2.0,-4.0,-3.0,-2.0,-1.0,-1.0,-0.44158935546875,-0.39837646484375,0.6693115234375,0.44537353515625,-0.24365234375,-0.9423828125,0.3017578125,-1.25,-0.5625,0.6875
0.4,-1.0,-1.0,1.0,8.0,-3.0,-5.0,-1.0,-1.0,-0.441650390625,-0.39849853515625,0.6693115234375,0.44512939453125,-0.23828125,-0.951171875,0.29931640625,-1.25,-0.375,1.125
0.405,0.0,-2.0,-5.0,5.0,-1.0,5.0,5.0,2.0,-0.44146728515625,-0.39825439453125,0.66943359375,0.44537353515625,-0.23876953125,-0.9443359375,0.29638671875,2.375,0.0,-0.4375
0.41,0.0,-5.0,-6.0,-10.0,-4.0,-7.0,-5.0,-2.0
0.415,0.0,2.0,7.0,10.0,-8.0,-3.0,-1.0,-1.0,-0.44134521484375,-0.39813232421875,0.66949462890625,0.44549560546875,-0.24365234375,-0.9404296875,0.2880859375,1.75,-0.1875,-0.5
0.42,-1.0,-2.0,-7.0,-7.0,2.0,0.0,0.0,0.0,-0.44134521484375,-0.39813232421875,0.66949462890625,0.44549560546875,-0.23779296875,-0.9404296875,0.29931640625,-0.3125,0.25,0.125
0.425,-2.0,-3.0,-11.0,7.0,0.0,-2.0,-2.0,-1.0,-0.44146728515625,-0.39837646484375,0.66937255859375,0.44537353515625,-0.23193359375,-0.94384765625,0.2919921875,-1.25,-0.1875,0.5625
0.43,-2.0,-1.0,-1.0,-5.0,0.0,1.0,-1.0,-1.0,-0.44158935546875,-0.39862060546875,0.66925048828125,0.4451904296875,-0.2353515625,-0.95703125,0.296875,-1.8125,-0.1875,0.3125
0.435,-2.0,-5.0,-6.0,-3.0,-2.0,1.0,3.0,0.0,-0.44140625,-0.398681640625,0.66925048828125,0.44525146484375,-0.25,-0.955078125,0.30126953125,1.375,-0.9375,-0.9375
0.44,-4.0,-3.0,-8.0,5.0,-3.0,-4.0,-3.0,-2.0,-0.4410400390625,-0.3985595703125,0.66943359375,0.44549560546875,-0.24462890625,-0.94921875,0.30029296875,2.3125,-1.0,-1.375
0.445,-1.0,-1.0,16.0,10.0,-2.0,-1.0,-2.0,0.0,-0.44061279296875,-0.39886474609375,0.66949462890625,0.44561767578125,-0.2353515625,-0.9453125,0.3046875,-0.8125,-1.1875,-0.75
0.45,0.0,-3.0,5.0,-1.0,3.0,0.0,0.0,0.0
0.455,-2.0,-1.0,-1.0,-5.0,-2.0,1.0,-1.0,-2.0,-0.440673828125,-0.39910888671875,0.66949462890625,0.44537353515625,-0.240234375,-0.9541015625,0.2978515625,-1.5,-1.125,0.625
0.46,-2.0,-2.0,-5.0,-1.0,-1.0,-2.0,-1.0,0.0,-0.44061279296875,-0.39935302734375,0.66949462890625,0.4451904296875,-0.23388671875,-0.96435546875,0.298828125,0.375,-0.75,0.125
0.465,-1.0,4.0,21.0,6.0,-3.0,0.0,-1.0,0.0
0.47,-4.0,-6.0,-1.0,0.0,-2.0,0.0,-2.0,-2.0,-0.44049072265625,-0.3990478515625,0.66961669921875,0.4453125,-0.23974609375,-0.95849609375,0.30126953125,2.1875,0.1875,0.3125
0.475,0.0,2.0,-11.0,-17.0,-5.0,0.0,0.0,-1.0,-0.44036865234375,-0.398681640625,0.66986083984375,0.4454345703125,-0.24169921875,-0.94873046875,0.2998046875,-0.75,-0.25,0.0
0.48,1.0,2.0,-6.0,-4.0,-2.0,0.0,0.0,-3.0,-0.44036865234375,-0.398681640625,0.66986083984375,0.4454345703125,-0.2412109375,-0.95703125,0.3037109375,-0.0625,-0.3125,0.1875
0.485
0.49,-1.0,-2.0,-5.0,3.0,0.0,-3.0,1.0,1.0,-0.44061279296875,-0.39825439453125,0.66998291015625,0.4454345703125,-0.24072265625,-0.94775390625,0.3076171875,-0.6875,1.5625,0.75
0.495,-6.0,-4.0,4.0,2.0,0.0,-3.0,-4.0,-1.0,-0.44091796875,-0.39825439453125,0.66986083984375,0.44525146484375,-0.2421875,-0.9501953125,0.30126953125,-1.5,1.25,1.25
0.5,1.0,0.0,2.0,-3.0,-2.0,-9.0,-3.0,-3.0,-0.441650390625,-0.39801025390625,0.66973876953125,0.44500732421875,-0.2470703125,-0.94677734375,0.3056640625,-1.0625,1.6875,1.1875
0.505,-13.0,-8.0,3.0,1.0,0.0,-2.0,0.0,-3.0
0.51,2.0,-2.0,1.0,0.0,1.0,2.0,7.0,13.0,-0.4417724609375,-0.3975830078125,0.66986083984375,0.44500732421875,-0.24609375,-0.953125,0.33056640625,-0.5,1.6875,1.5625
0.515,-13.0,-4.0,0.0,7.0,-1.0,-4.0,-7.0,-2.0,-0.44183349609375,-0.396728515625,0.67010498046875,0.44537353515625,-0.23876953125,-0.95751953125,0.33740234375,2.4375,3.3125,1.875
0.52,-1.0,-6.0,4.0,2.0,0.0,3.0,5.0,17.0,-0.44195556640625,-0.39508056640625,0.6702880859375,0.44635009765625,-0.24853515625,-0.94970703125,0.34716796875,6.0,7.0,1.1875
0.525,23.0,-2.0,-1.0,-4.0,1.0,4.0,-1.0,11.0,-0.4422607421875,-0.3939208984375,0.670166015625,0.44732666015625,-0.25732421875,-0.943359375,0.35107421875,2.9375,7.1875,-1.625
0.53,-12.0,-11.0,-6.0,-5.0,-3.0,-2.0,-9.0,-7.0,-0.44293212890625,-0.3929443359375,0.66973876953125,0.44818115234375,-0.26171875,-0.94873046875,0.36572265625,-0.5625,9.0,-1.0625
0.535,4.0,7.0,3.0,12.0,3.0,-1.0,-3.0,-4.0,-0.4437255859375,-0.39117431640625,0.6695556640625,0.44927978515625,-0.2568359375,-0.95703125,0.365234375,3.5,11.125,1.1875
0.54,1.0,0.0,-12.0,-8.0,-2.0,-7.0,0.0,-1.0,-0.4447021484375,-0.3887939453125,0.6690673828125,0.4510498046875,-0.24462890625,-0.9384765625,0.3798828125,5.4375,16.3125,0.5625
0.545,-10.0,-2.0,-15.0,-5.0,0.0,-1.0,5.0,-16.0,-0.44775390625,-0.38739013671875,0.66717529296875,0.4520263671875,-0.28955078125,-0.9365234375,0.37646484375,-9.125,22.9375,-0.8125
0.55,12.0,-8.0,-10.0,-10.0,-3.0,8.0,-23.0,49.0,-0.45452880859375,-0.38653564453125,0.66357421875,0.45123291015625,-0.32373046875,-0.986328125,0.283203125,-14.0625,12.625,2.5625
0.555,5.0,7.0,-9.0,-6.0,-4.0,-7.0,-9.0,22.0
0.56,-71.0,-14.0,2.0,-1.0,-2.0,-5.0,13.0,-28.0,-0.45709228515625,-0.3876953125,0.66241455078125,0.4493408203125,-0.29296875,-0.9697265625,0.2412109375,-15.25,4.0625,5.25
0.565,5.0,-12.0,-24.0,-20.0,-9.0,-21.0,0.0,-56.0,-0.45733642578125,-0.38555908203125,0.66424560546875,0.4482421875,-0.29150390625,-1.03173828125,0.24560546875,16.1875,-2.1875,7.875
0.57,13.0,22.0,23.0,-4.0,1.0,32.0,-5.0,16.0
0.575,-1.0,-51.0,-2.0,9.0,4.0,-5.0,-37.0,22.0,-0.4554443359375,-0.3831787109375,0.666748046875,0.44854736328125,-0.32421875,-1.0107421875,0.2333984375,25.875,-9.5625,5.125
