time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,-1.0,-1.0,0.0,-3.0,-2.0,-4.0,-1.0,0.0,-0.3494873046875,-0.4576416015625,0.73193359375,0.3642578125,-0.17822265625,-0.9521484375,0.34228515625,-0.3125,1.3125,2.5625
0.01,-1.0,0.0,4.0,1.0,-1.0,-1.0,-1.0,0.0,-0.3507080078125,-0.45697021484375,0.732177734375,0.36346435546875,-0.193359375,-0.94775390625,0.34912109375,-0.9375,1.9375,4.1875
0.015,-2.0,-3.0,-19.0,-10.0,-1.0,-3.0,0.0,1.0
0.02,0.0,-1.0,5.0,2.0,-2.0,0.0,2.0,-1.0,-0.3514404296875,-0.45672607421875,0.732177734375,0.36297607421875,-0.19287109375,-0.95947265625,0.34619140625,-1.3125,2.25,4.125
0.025,0.0,0.0,-3.0,2.0,3.0,2.0,2.0,0.0,-0.3519287109375,-0.456298828125,0.73236083984375,0.36279296875,-0.1875,-0.9580078125,0.3486328125,0.6875,2.125,3.5
0.03,0.0,-1.0,3.0,-1.0,-1.0,1.0,-1.0,1.0,-0.35260009765625,-0.45562744140625,0.7325439453125,0.36248779296875,-0.1796875,-0.95556640625,0.33935546875,0.6875,1.625,3.0
0.035,-1.0,-3.0,5.0,1.0,-4.0,-2.0,-2.0,-1.0
0.04,-3.0,-1.0,14.0,3.0,0.0,1.0,-1.0,-1.0,-0.35284423828125,-0.4554443359375,0.73260498046875,0.36236572265625,-0.1748046875,-0.95263671875,0.3388671875,0.75,1.1875,2.625
0.045,-1.0,2.0,3.0,7.0,3.0,1.0,0.0,-1.0,-0.353515625,-0.4547119140625,0.73291015625,0.36212158203125,-0.189453125,-0.93994140625,0.33984375,1.0625,1.4375,3.0625
0.05,1.0,0.0,-2.0,-3.0,0.0,1.0,-2.0,0.0,-0.35382080078125,-0.45440673828125,0.7330322265625,0.36187744140625,-0.189453125,-0.9365234375,0.33251953125,0.875,1.0,3.0
0.055,1.0,0.0,-6.0,-6.0,-3.0,-1.0,1.0,1.0,-0.35406494140625,-0.4541015625,0.73321533203125,0.36163330078125,-0.1943359375,-0.93994140625,0.34130859375,0.9375,0.625,2.4375
0.06,-1.0,0.0,5.0,3.0,1.0,-1.0,0.0,-1.0,-0.35406494140625,-0.45367431640625,0.73358154296875,0.3614501953125,-0.19775390625,-0.93505859375,0.34765625,1.875,-0.1875,2.0625
0.065,-1.0,-3.0,0.0,-4.0,-1.0,-3.0,-1.0,-1.0,-0.35400390625,-0.45343017578125,0.73382568359375,0.36126708984375,-0.19873046875,-0.94287109375,0.3408203125,1.75,-0.9375,1.5625
0.07,-2.0,-1.0,3.0,-6.0,-3.0,-3.0,-3.0,-2.0,-0.35382080078125,-0.4532470703125,0.73406982421875,0.361328125,-0.189453125,-0.9423828125,0.34765625,1.875,-0.5625,0.5
0.075,0.0,-1.0,5.0,3.0,0.0,-3.0,-3.0,-3.0,-0.35345458984375,-0.45281982421875,0.73443603515625,0.3614501953125,-0.203125,-0.93212890625,0.34326171875,0.9375,-1.0625,-0.3125
0.08,-3.0,1.0,1.0,-9.0,-4.0,-4.0,-1.0,-1.0,-0.35345458984375,-0.4527587890625,0.73443603515625,0.3614501953125,-0.201171875,-0.9453125,0.35693359375,-0.9375,-0.625,-0.625
0.085,-2.0,-2.0,5.0,2.0,-1.0,-1.0,-2.0,-1.0,-0.35369873046875,-0.4522705078125,0.73455810546875,0.36151123046875,-0.2060546875,-0.9384765625,0.3525390625,1.4375,1.8125,0.75
0.09,0.0,-1.0,4.0,-3.0,-1.0,1.0,-4.0,-1.0
0.095,0.0,-2.0,-2.0,-8.0,-3.0,-1.0,-2.0,-1.0,-0.3541259765625,-0.45196533203125,0.734619140625,0.3614501953125,-0.19873046875,-0.9453125,0.35498046875,0.25,2.3125,2.0
0.1,-1.0,-1.0,-3.0,-1.0,-2.0,-1.0,-1.0,-1.0,-0.3546142578125,-0.4515380859375,0.734619140625,0.3614501953125,-0.19580078125,-0.9462890625,0.35107421875,0.4375,2.875,2.4375
0.105,0.0,-1.0,2.0,10.0,1.0,1.0,1.0,-1.0,-0.3551025390625,-0.4512939453125,0.73455810546875,0.36138916015625,-0.201171875,-0.94677734375,0.35302734375,-0.5,2.5,2.0
0.11,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,-0.35552978515625,-0.4512939453125,0.73443603515625,0.36126708984375,-0.19873046875,-0.95556640625,0.349609375,-1.125,1.6875,1.4375
0.115,0.0,-1.0,-5.0,-7.0,-2.0,-6.0,-5.0,-3.0,-0.355712890625,-0.45123291015625,0.73431396484375,0.36138916015625,-0.19921875,-0.95263671875,0.3505859375,-0.0625,1.4375,0.0625
0.12,-1.0,-4.0,2.0,4.0,-2.0,-2.0,0.0,-1.0,-0.355712890625,-0.450927734375,0.734375,0.36163330078125,-0.20361328125,-0.94384765625,0.34130859375,2.125,1.0625,-0.1875
0.125,0.0,-1.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-0.355712890625,-0.45074462890625,0.73443603515625,0.36175537109375,-0.1982421875,-0.93212890625,0.34423828125,1.125,0.75,-0.25
0.13,-1.0,1.0,6.0,-2.0,1.0,0.0,-1.0,-3.0,-0.355712890625,-0.45074462890625,0.73443603515625,0.36181640625,-0.19091796875,-0.9423828125,0.353515625,0.9375,0.75,-0.8125
0.135,-1.0,-1.0,-3.0,0.0,-4.0,1.0,-1.0,-2.0,-0.35546875,-0.4505615234375,0.7344970703125,0.3621826171875,-0.1796875,-0.94189453125,0.3505859375,2.125,0.6875,-0.375
0.14,-2.0,1.0,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.35540771484375,-0.4500732421875,0.734619140625,0.362548828125,-0.18310546875,-0.93310546875,0.34765625,3.0,1.875,0.625
0.145,-2.0,-2.0,0.0,-3.0,-3.0,-3.0,-1.0,-2.0,-0.3555908203125,-0.44970703125,0.73468017578125,0.36260986328125,-0.21142578125,-0.9384765625,0.3603515625,0.0625,0.9375,0.25
0.15,0.0,-1.0,-2.0,7.0,0.0,1.0,1.0,-1.0
0.155,-1.0,1.0,8.0,-2.0,-1.0,-2.0,-1.0,-1.0,-0.3555908203125,-0.44970703125,0.73468017578125,0.36260986328125,-0.203125,-0.951171875,0.35546875,0.4375,0.5,0.0625
0.16,-1.0,-1.0,-3.0,-7.0,-1.0,-4.0,-1.0,-1.0,-0.35546875,-0.448974609375,0.73480224609375,0.36346435546875,-0.201171875,-0.93017578125,0.35546875,2.1875,1.6875,-1.25
0.165,0.0,-1.0,-1.0,0.0,2.0,2.0,3.0,1.0
0.17,-1.0,-1.0,0.0,5.0,-2.0,1.0,0.0,0.0,-0.35565185546875,-0.4488525390625,0.7347412109375,0.363525390625,-0.20947265625,-0.9296875,0.3525390625,-0.5,1.3125,-0.5625
