time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,-2.0,3.0,13.0,-7.0,-3.0,3.0,-1.0,1.0,-0.41546630859375,-0.3544921875,0.692626953125,0.47113037109375,-0.24853515625,-0.91015625,0.41162109375,0.0,0.8125,1.125
0.01,-2.0,8.0,-9.0,0.0,0.0,0.0,-2.0,-2.0
0.015,-2.0,-2.0,5.0,-2.0,-1.0,-3.0,-2.0,-2.0,-0.41552734375,-0.354248046875,0.69281005859375,0.4710693359375,-0.2490234375,-0.90380859375,0.40576171875,1.5,0.0,1.5
0.02,1.0,-6.0,-9.0,-2.0,5.0,-1.0,1.0,2.0,-0.41571044921875,-0.35406494140625,0.69293212890625,0.470703125,-0.248046875,-0.89794921875,0.41259765625,-1.0625,0.3125,0.875
0.025,1.0,-2.0,4.0,-1.0,0.0,1.0,-1.0,2.0,-0.41571044921875,-0.35406494140625,0.6929931640625,0.470703125,-0.25,-0.89892578125,0.4111328125,-0.3125,-0.0625,0.375
0.03,-2.0,-6.0,-3.0,-3.0,1.0,1.0,-1.0,-2.0,-0.41583251953125,-0.35418701171875,0.69287109375,0.470703125,-0.24755859375,-0.90234375,0.4130859375,-1.125,0.1875,-0.0625
0.035,-3.0,2.0,-5.0,-8.0,-2.0,-3.0,-2.0,0.0,-0.41583251953125,-0.35418701171875,0.69287109375,0.47064208984375,-0.2451171875,-0.900390625,0.40380859375,-0.9375,-0.4375,-0.125
0.04,-1.0,-2.0,-3.0,-7.0,-6.0,-2.0,1.0,-2.0,-0.41583251953125,-0.354248046875,0.69287109375,0.47064208984375,-0.24462890625,-0.89501953125,0.40283203125,-0.1875,-0.1875,0.375
0.045,0.0,3.0,3.0,0.0,-4.0,-2.0,-1.0,-2.0,-0.41595458984375,-0.35443115234375,0.6927490234375,0.47052001953125,-0.24658203125,-0.8984375,0.40087890625,-1.375,-0.25,0.1875
0.05,-2.0,-4.0,-9.0,7.0,2.0,0.0,-1.0,-3.0,-0.41619873046875,-0.35467529296875,0.692626953125,0.47039794921875,-0.24267578125,-0.91064453125,0.40771484375,-1.8125,0.375,0.4375
0.055,-3.0,2.0,1.0,-6.0,1.0,2.0,0.0,-1.0,-0.41632080078125,-0.35479736328125,0.69244384765625,0.47039794921875,-0.251953125,-0.90234375,0.41259765625,-0.9375,0.6875,0.5625
0.06,0.0,2.0,-1.0,1.0,-3.0,-2.0,-2.0,-1.0,-0.41656494140625,-0.35504150390625,0.6923828125,0.4700927734375,-0.24560546875,-0.9072265625,0.40966796875,-2.25,-0.0625,1.0
0.065,-2.0,-2.0,-6.0,2.0,1.0,0.0,1.0,-1.0
0.07,-2.0,-14.0,-13.0,-3.0,4.0,-1.0,1.0,0.0,-0.41668701171875,-0.3553466796875,0.69232177734375,0.46990966796875,-0.244140625,-0.91357421875,0.41015625,-2.0625,-0.75,0.4375
0.075,0.0,0.0,-3.0,-7.0,-5.0,-2.0,0.0,0.0,-0.4166259765625,-0.3553466796875,0.69232177734375,0.46990966796875,-0.24755859375,-0.91162109375,0.4189453125,-0.125,-0.4375,0.0625
0.08,3.0,1.0,0.0,4.0,1.0,0.0,0.0,5.0,-0.4166259765625,-0.3553466796875,0.69232177734375,0.46990966796875,-0.251953125,-0.908203125,0.4072265625,0.0,0.0,-0.6875
0.085,-2.0,1.0,6.0,4.0,3.0,2.0,-1.0,-2.0,-0.4161376953125,-0.35516357421875,0.69256591796875,0.47015380859375,-0.2490234375,-0.89208984375,0.41650390625,1.0625,-0.9375,-0.8125
0.09,0.0,-2.0,-10.0,-5.0,-2.0,-2.0,-1.0,-2.0,-0.4161376953125,-0.35516357421875,0.69256591796875,0.47015380859375,-0.2490234375,-0.90185546875,0.4150390625,-0.4375,-0.5625,-0.8125
0.095,-2.0,0.0,8.0,8.0,0.0,0.0,-1.0,-2.0,-0.4161376953125,-0.35516357421875,0.69256591796875,0.47015380859375,-0.2451171875,-0.90625,0.41748046875,-0.5,-0.5625,-0.5
0.1,-3.0,-1.0,4.0,-3.0,1.0,3.0,-3.0,-3.0,-0.41607666015625,-0.35516357421875,0.69256591796875,0.47021484375,-0.234375,-0.900390625,0.40869140625,0.5625,0.125,0.0
0.105,0.0,-4.0,-3.0,-1.0,-7.0,-7.0,-1.0,1.0,-0.41607666015625,-0.35516357421875,0.69256591796875,0.47021484375,-0.25244140625,-0.90380859375,0.41162109375,-1.0,0.5625,0.3125
0.11,-3.0,-4.0,-4.0,-3.0,-7.0,-6.0,-3.0,-1.0,-0.41632080078125,-0.35528564453125,0.6923828125,0.4700927734375,-0.25146484375,-0.91162109375,0.40283203125,-1.125,0.625,0.0625
0.115,1.0,-1.0,4.0,1.0,-2.0,-4.0,-1.0,0.0,-0.41644287109375,-0.355224609375,0.69219970703125,0.4703369140625,-0.2470703125,-0.91455078125,0.40576171875,0.5625,1.5,-0.9375
0.12,-1.0,-17.0,13.0,2.0,-5.0,-3.0,-2.0,-2.0,-0.41644287109375,-0.35504150390625,0.692138671875,0.47064208984375,-0.25634765625,-0.9052734375,0.41845703125,0.875,1.1875,-1.5
0.125,-2.0,-4.0,-13.0,0.0,-1.0,0.0,-1.0,0.0
0.13,-1.0,3.0,1.0,7.0,3.0,1.0,1.0,-1.0,-0.41644287109375,-0.35504150390625,0.692138671875,0.47064208984375,-0.2548828125,-0.89990234375,0.4072265625,-0.625,-0.0625,-0.8125
0.135,-1.0,2.0,8.0,1.0,-4.0,-3.0,-2.0,0.0,-0.4166259765625,-0.35528564453125,0.6920166015625,0.470458984375,-0.24658203125,-0.9052734375,0.39990234375,-1.5,-0.4375,0.125
0.14,-2.0,0.0,-8.0,-1.0,2.0,-1.0,-2.0,-2.0,-0.41680908203125,-0.35516357421875,0.69195556640625,0.47039794921875,-0.24853515625,-0.91259765625,0.404296875,0.1875,1.125,0.9375
0.145,-2.0,-1.0,-10.0,-5.0,-1.0,-2.0,-1.0,-1.0,-0.4169921875,-0.35504150390625,0.6920166015625,0.47027587890625,-0.251953125,-0.91064453125,0.40576171875,0.3125,0.4375,1.0625
0.15,-2.0,-1.0,-8.0,-4.0,0.0,3.0,2.0,-1.0,-0.4171142578125,-0.35491943359375,0.69207763671875,0.47015380859375,-0.24658203125,-0.90185546875,0.40283203125,0.25,0.5,1.1875
